Respondent ID,Collector ID,Start Date,End Date,freq_use,role,training_instructor_led,training_web_based,training_read,no_training,training_effectiveness,explain_training_effectiveness,support_Gnet,support_inapplication,support_ref_doc,support_SOP,support_contacted,support_IT,explain_support,complete_without_help,explain_complete_without_help,easy_access_documents,explain_easy_access_documents,satisfaction,explain_satisfaction,Gvault_efficiency,explain_Gvault_efficiency,Gvault_improved,explain_Gvault_improved,functional_area,explain_functional_area,office_location,explain_office_location,job_level,explain_job_level,time_worked_Glead
11166149629,249459562,2019-11-22 06:27:04,2019-11-22 06:35:32,At least once a month,Consumer - Read Only,Instructor Led,,,,Not effective enough,"it was good training but as the system is not logical, finding documents is impossible and although in the training it seemed easy enough, in practice its almost impossible to find a document you know exists.",,,"Reference Document (User Manual, Reference Guide, Training Material, etc)",,Contacted my Document Control or Training Group,,asked my colleagues until i found one that could find the document.,Some of the time,only if i have read the document before so its saved in my favorites.,No,impossible,Very Unsatisfied,its so much more difficult to find anything than before and now we have so many more documents.,Decreased,,No,"before you could search a topic and find all related documents, now you can not. finding a document you know exists so finding a document about a topic is not at all possible.",Research and Development (R&D),,Cambridge,,Individual Contributor,,>7 Years
11165532845,249459562,2019-11-22 01:38:50,2019-11-22 01:48:57,At least once a week,Consumer - Read Only,,,Read & Understood of Procedural Document(s),,Not effective enough,"I general I think that all the e-training are not effective. Addtionally, in this case the trainings didn't mention discrepancies with versions and numbering.",,In-Application (GVault),"Reference Document (User Manual, Reference Guide, Training Material, etc)",SOPs and Work Instructions,,,,All the time,,No,"If you do not have a document number, you can't find anything",Very Unsatisfied,"A list of document with no structure. No clue if the document you are reading has been delivered to the supplier (if there is a way to do so, I wasn't trained effectively), you have to search from the supplier's list.",Decreased,"more confusion, too many types of documents not effectively tagged, impossible to find what you are looking for without the document number.",Yes,"but without any advantage, only more mess",Pharmaceutical Development and Manufacturing (PDM),,Other (please specify),"if this is anonymous, there are too many question below.",Individual Contributor,,3-4 years
11165516710,249459562,2019-11-22 01:35:47,2019-11-22 01:37:46,At least once a week,Owner / Author,,Web/Computer Based,Read & Understood of Procedural Document(s),,Not effective enough,,,,"Reference Document (User Manual, Reference Guide, Training Material, etc)",,Contacted my Document Control or Training Group,,,Never,,Yes,,Satisfied,,,NA,,NA,Research and Development (R&D),,Other (please specify),Amsterdam,Other (please specify),RA Associate,Less than a year
11165475285,249459562,2019-11-22 01:10:57,2019-11-22 01:13:32,At least once a week,Owner / Author,,Web/Computer Based,,,Effective,,,,"Reference Document (User Manual, Reference Guide, Training Material, etc)",SOPs and Work Instructions,Contacted my Document Control or Training Group,,,Some of the time,,No,,Satisfied,,Decreased,,Yes,,Research and Development (R&D),,Other (please specify),Italy,Other (please specify),Manger,>7 Years
11165404882,249459562,2019-11-22 00:25:00,2019-11-22 00:29:34,At least once a month,Not Sure,,,,I did not take training,I did not take training,I did not receive any request to conduct training.,,,,,,,,Never,Logging in was an issue given my access to other vaults,Yes,"System is user friendly, policies and processes from Gilead are not (eg wet signature documents)",Slightly Unsatisfied,,Decreased,The transition to GVaultQDMS has not been very smooth. I am sure the system functionality is better but the experience has been poor.,Yes,,Information Technology (IT),,Stockley Park,,Director,,1 to 2 years
11165385777,249459562,2019-11-22 00:12:46,2019-11-22 00:16:42,Daily,Reviewer / Approver,Instructor Led,,,,Very effective,,,,"Reference Document (User Manual, Reference Guide, Training Material, etc)",SOPs and Work Instructions,Contacted my Document Control or Training Group,,,Most of the time,,Yes,,Very Satisfied,,Increased,"Improved approval workflow, better search capabilities",No,"While certain functions are much improved like searching, the loss of the library function to drive personnel always to the steady state document has led to multiple GMP errors occurring where personnel print and use documents in a approval or draft state - while there are watermarks etc, these rely on human  checks which may detect the error after the document is used.  A system like this should have the capability for a smart interface for regular consumers of documents to default to steady state versions at point of use",Pharmaceutical Development and Manufacturing (PDM),,Cork/Dublin,,Manager / Group Leader,,>7 Years
11165137787,249459562,2019-11-21 20:55:54,2019-11-21 20:58:11,Daily,Consumer - Read Only,Instructor Led,,,,Effective,,,,,,,IT Support / SPARC,,Most of the time,,Yes,,Satisfied,,Increased,,Yes,,Pharmaceutical Development and Manufacturing (PDM),,Foster City,,Individual Contributor,,>7 Years
11164861737,249459562,2019-11-21 17:48:28,2019-11-21 17:53:43,Daily,Owner / Author,Instructor Led,Web/Computer Based,Read & Understood of Procedural Document(s),,Effective,,,,"Reference Document (User Manual, Reference Guide, Training Material, etc)",SOPs and Work Instructions,Contacted my Document Control or Training Group,,,Most of the time,,No,"Search result numbers are too large, and applying filters does not reduce the results to a manageable size.",Satisfied,,No noticeable difference,,Yes,,Pharmaceutical Development and Manufacturing (PDM),,Foster City,,Manager / Group Leader,,3-4 years
11164845313,249459562,2019-11-21 17:40:44,2019-11-21 17:44:07,At least once a week,Reviewer / Approver,Instructor Led,,,,Effective,,,,,,Contacted my Document Control or Training Group,,,All the time,,No,"Yes & No - it's very easy to find documents if you know the document number, but less easy if you need to search by keywords only.",Very Satisfied,,Increased,,Yes,,Research and Development (R&D),,Foster City,,Director,,>7 Years
11164782069,249459562,2019-11-21 17:05:19,2019-11-21 17:08:03,At least once a week,Reviewer / Approver,,Web/Computer Based,,,Effective,,,,,,,,coworkers,Most of the time,,Yes,,Slightly Unsatisfied,,Increased,,Yes,,Pharmaceutical Development and Manufacturing (PDM),,Foster City,,Director,,>7 Years
11164575794,249459562,2019-11-21 15:23:10,2019-11-21 15:25:00,Daily,Owner / Author,,Web/Computer Based,Read & Understood of Procedural Document(s),,Effective,,GNet,,"Reference Document (User Manual, Reference Guide, Training Material, etc)",SOPs and Work Instructions,Contacted my Document Control or Training Group,,,Some of the time,,No,,Satisfied,,No noticeable difference,,Yes,,Pharmaceutical Development and Manufacturing (PDM),,Foster City,,Individual Contributor,,3-4 years
11164560046,249459562,2019-11-21 15:12:13,2019-11-21 15:18:02,At least once a week,Reviewer / Approver,,Web/Computer Based,Read & Understood of Procedural Document(s),,Effective,"As with any system, the training is one thing, but without repeated use of the system, I have had to check the PDs multiple times. The system is not very intuitive and is complicated with so many icons.",,,"Reference Document (User Manual, Reference Guide, Training Material, etc)",SOPs and Work Instructions,,,Ask colleagues,Most of the time,"Now that i've had more experience, I can usually find what i'm looking for.",Yes,,Slightly Unsatisfied,,Decreased,,No,"GDocs was fairly straightforward and I preferred the document to open in a separate window. I do not prefer that the document open up in application. If i want to view it as a separate PDF there are more clicks. A major issue is not necessarily GVault-related but it is difficult to find SOPs because all the numbers have changed. Using the ""legacy number"" function is helpful but does not always work (I can't explain so it may be user error...)",Research and Development (R&D),,Foster City,,Manager / Group Leader,,3-4 years
11164248951,249459562,2019-11-21 13:25:16,2019-11-21 13:28:02,At least once a week,Owner / Author,,Web/Computer Based,Read & Understood of Procedural Document(s),,Very effective,,GNet,In-Application (GVault),"Reference Document (User Manual, Reference Guide, Training Material, etc)",SOPs and Work Instructions,,,,All the time,,Yes,,Very Satisfied,,Increased,"Increased by many factors of 10, GVault is better than GDocs in every way.",Yes,,Research and Development (R&D),,Foster City,,Manager / Group Leader,,3-4 years
11164213528,249459562,2019-11-21 13:12:27,2019-11-21 13:16:50,Daily,Owner / Author,Instructor Led,Web/Computer Based,Read & Understood of Procedural Document(s),,Effective,,GNet,,"Reference Document (User Manual, Reference Guide, Training Material, etc)",,Contacted my Document Control or Training Group,,,Most of the time,,Yes,,Satisfied,,Decreased,,No,"DCC workflow is different, needs additional approval.",Pharmaceutical Development and Manufacturing (PDM),,Foster City,,Individual Contributor,,5-7 years
11163964145,249459562,2019-11-21 11:53:50,2019-11-21 12:00:40,Daily,Reviewer / Approver,,Web/Computer Based,Read & Understood of Procedural Document(s),,Effective,,GNet,,,,,,,Most of the time,,No,"Access yes, search need more training.",Satisfied,,Decreased,Mainly due to the personal seach understanding,Yes,Interface is more intuitive,Information Technology (IT),,Other (please specify),Remote,Other (please specify),Contractor,3-4 years
11163852190,249459562,2019-11-21 11:23:02,2019-11-21 11:24:47,Less than once a month,Consumer - Read Only,,,Read & Understood of Procedural Document(s),,Very effective,,GNet,,"Reference Document (User Manual, Reference Guide, Training Material, etc)",,,,,All the time,,Yes,,Very Satisfied,,No noticeable difference,,Yes,,Information Technology (IT),,Foster City,,Individual Contributor,,5-7 years
11163745905,249459562,2019-11-21 10:49:06,2019-11-21 10:53:28,Daily,Consumer - Read Only,,,,I did not take training,I did not take training,,,,,,Contacted my Document Control or Training Group,,,Most of the time,,No,"The SOPs are not tied to any other WRKs, forms, etc. I do not know how to locate a WRK, that will help me do my job",Very Unsatisfied,With GDocs it was easy to find all the procedural documents in my area,Decreased,,No,,Research and Development (R&D),,Foster City,,Manager / Group Leader,,1 to 2 years
11163618856,249459562,2019-11-21 10:08:44,2019-11-21 10:10:25,At least once a month,Consumer - Read Only,,,,I did not take training,I did not take training,,,,,,,,,All the time,,Yes,,Satisfied,,No noticeable difference,,Yes,,Pharmaceutical Development and Manufacturing (PDM),,Foster City,,Individual Contributor,,5-7 years
11163587267,249459562,2019-11-21 09:59:15,2019-11-21 10:00:55,Daily,Document Steward for a functional area,Instructor Led,Web/Computer Based,Read & Understood of Procedural Document(s),,Effective,,,,,,Contacted my Document Control or Training Group,,,Most of the time,,Yes,,Satisfied,,No noticeable difference,,Yes,,Pharmaceutical Development and Manufacturing (PDM),,San Dimas/La Verne,,Individual Contributor,,3-4 years
11163518145,249459562,2019-11-21 09:35:21,2019-11-21 09:38:57,Daily,Consumer - Read Only,Instructor Led,Web/Computer Based,Read & Understood of Procedural Document(s),,Effective,,GNet,In-Application (GVault),,SOPs and Work Instructions,Contacted my Document Control or Training Group,,,Most of the time,,Yes,,Satisfied,,No noticeable difference,,Yes,,Pharmaceutical Development and Manufacturing (PDM),,Alberta,,Individual Contributor,,>7 Years
11163473107,249459562,2019-11-21 09:20:56,2019-11-21 09:25:17,Daily,Reviewer / Approver,Instructor Led,Web/Computer Based,Read & Understood of Procedural Document(s),,Effective,There are certain aspects of the software that are not obvious until you use it.  That is the fault of the software itself and not something that can be trained around.,,In-Application (GVault),"Reference Document (User Manual, Reference Guide, Training Material, etc)",SOPs and Work Instructions,Contacted my Document Control or Training Group,IT Support / SPARC,,Most of the time,There are a few odd cases that require contacting various people in QA to be sure that the Gilead policy is followed to be sure the right person is reviewing with the right options.,No,The search tool is not adequate if you do not have the document number.,Satisfied,It's better than most other software I have used for similar tasks.  But it still has room for improvement.,No noticeable difference,I did not use GDocs,Yes,I did not use GDocs,Pharmaceutical Development and Manufacturing (PDM),,Foster City,,Manager / Group Leader,,Less than a year
11163403479,249459562,2019-11-21 09:02:18,2019-11-21 09:05:47,At least once a week,Owner / Author,Instructor Led,,Read & Understood of Procedural Document(s),,Effective,,,,"Reference Document (User Manual, Reference Guide, Training Material, etc)",,Contacted my Document Control or Training Group,,,Some of the time,,Yes,,Satisfied,,Increased,,Yes,,Other (please specify),Environmental Health and Safety,Oceanside,,Individual Contributor,,3-4 years
11163377996,249459562,2019-11-21 08:54:52,2019-11-21 08:58:13,Less than once a month,Consumer - Read Only,,Web/Computer Based,Read & Understood of Procedural Document(s),,Effective,,,,"Reference Document (User Manual, Reference Guide, Training Material, etc)",SOPs and Work Instructions,,IT Support / SPARC,,Some of the time,,Yes,,Satisfied,,No noticeable difference,,No,,Information Technology (IT),,Stockley Park,,Individual Contributor,,Less than a year
11163353663,249459562,2019-11-21 08:47:09,2019-11-21 08:50:19,Daily,Owner / Author,Instructor Led,Web/Computer Based,Read & Understood of Procedural Document(s),,Effective,,,,"Reference Document (User Manual, Reference Guide, Training Material, etc)",SOPs and Work Instructions,Contacted my Document Control or Training Group,,,Most of the time,,Yes,"The ""Smart"" search is often incorrect when I am searching for specific products. For example, if I search for Viread Oral Powder, the smart search often adds a filter for ""Viread"" and I either don't find any of the documents I am looking for or I receive way too many results.",Satisfied,,Increased,,Yes,,Pharmaceutical Development and Manufacturing (PDM),,Foster City,,Individual Contributor,,3-4 years
11163313703,249459562,2019-11-21 08:36:50,2019-11-21 08:39:13,At least once a week,Document Control Group Member,Instructor Led,,Read & Understood of Procedural Document(s),,Effective,,,,"Reference Document (User Manual, Reference Guide, Training Material, etc)",,Contacted my Document Control or Training Group,IT Support / SPARC,,Most of the time,,Yes,,Satisfied,,Increased,,Yes,,Research and Development (R&D),,Foster City,,Individual Contributor,,>7 Years
11163307724,249459562,2019-11-21 08:27:42,2019-11-21 08:37:19,Daily,Consumer - Read Only,Instructor Led,,,,Effective,effective but a  lot of material was covered in a short amount of time,,,,,,,I have had little support.  I am was referred to read documentation and could not get one on one assistance.,Some of the time,There are times that I am trying to understand the status of the documentation.,No,Previously I could enter a Gilead part number and the specification would come up.  Now I have to know the specification number.,Satisfied,,Decreased,"When searching for specification by Gilead part number does not come up, then I have to do more research.",No,it seems about the same to me,Other (please specify),Purchasing,San Dimas/La Verne,,Individual Contributor,,>7 Years
11163271847,249459562,2019-11-21 08:09:22,2019-11-21 08:27:36,Less than once a month,Owner / Author,Instructor Led,,,,Effective,,,,"Reference Document (User Manual, Reference Guide, Training Material, etc)",,Contacted my Document Control or Training Group,,,Most of the time,I need help if I do something for the first time (e.g. creation of a manual which I have not done yet).,No,"Sometimes the documents cannot be found, e.g. the old SOP-DS-21043 cannot be found, only a translation certificate is shown. It is not so easy to set the suitable filters.",Satisfied,It is user friendly and clearly structured. It is easy to find previous DCCs now.,Increased,"It is increased, but you need to revise/create a few documents to get familiar with the system.",Yes,"We do not need to send so many e-mails anymore, e.g. we can get the softcopy ourselves and can upload the training assignment. And change controls are easy to find now.",Research and Development (R&D),,Other (please specify),Austria,Manager / Group Leader,,>7 Years
11163230637,249459562,2019-11-21 08:13:34,2019-11-21 08:14:49,Daily,Document Control Group Member,Instructor Led,,,,Very effective,,,,"Reference Document (User Manual, Reference Guide, Training Material, etc)",SOPs and Work Instructions,Contacted my Document Control or Training Group,,,All the time,,Yes,,Very Satisfied,,Increased,,Yes,,Research and Development (R&D),,Cambridge,,Manager / Group Leader,,3-4 years
11163216616,249459562,2019-11-21 07:56:52,2019-11-21 08:11:09,Daily,Owner / Author,Instructor Led,,,,Effective,,,,,,Contacted my Document Control or Training Group,,,Some of the time,,No,"The search function is very limited (only 3 filters option available and there no boolean options such as ""AND"" or ""+"") and is not useful as GDocs especially when searching for word in a document.",Slightly Unsatisfied,,Decreased,"More works (fixing format, adding reference, create rendition) when routing a document for approval.",Yes,"All documents are in one system.  As an author, I like the ability to control track changes which I wasn't able to do in GDocs.",Pharmaceutical Development and Manufacturing (PDM),,Foster City,,Individual Contributor,,>7 Years
11163197784,249459562,2019-11-21 08:03:52,2019-11-21 08:06:00,Daily,Reviewer / Approver,Instructor Led,Web/Computer Based,,,Effective,,GNet,,"Reference Document (User Manual, Reference Guide, Training Material, etc)",,,,,Most of the time,,Yes,,Satisfied,,Increased,,Yes,,Research and Development (R&D),,Other (please specify),Italy,Manager / Group Leader,,1 to 2 years
11163192529,249459562,2019-11-21 07:47:38,2019-11-21 08:04:35,Daily,Reviewer / Approver,,Web/Computer Based,Read & Understood of Procedural Document(s),,Not effective enough,I have trouble navigating and performing advanced searches.,GNet,,"Reference Document (User Manual, Reference Guide, Training Material, etc)",SOPs and Work Instructions,Contacted my Document Control or Training Group,IT Support / SPARC,,Most of the time,I have trouble with searching and filters.,No,"Need clearer instructions on non-basic searching.  Also for exporting and printing reports, there are no clear instructions.  The user manuals have too many snapshots of which some are not helpful and some are confusing.",Satisfied,The workflows are pretty easy.,Decreased,"I feel that GDocs was easier because the document numbering was clear.  Now with GVault its confusing what used to be called GSSOP and FCSOP is just SOP and APQR was AQR etc, so now searching is harder.  Also, it appears that there is no ""does not include"" choice for searching.",Yes,Workflows are easier.,Pharmaceutical Development and Manufacturing (PDM),,Foster City,,Director,,>7 Years
11163175835,249459562,2019-11-21 07:52:53,2019-11-21 07:59:07,At least once a week,Reviewer / Approver,Instructor Led,Web/Computer Based,Read & Understood of Procedural Document(s),,Very effective,,,,"Reference Document (User Manual, Reference Guide, Training Material, etc)",SOPs and Work Instructions,Contacted my Document Control or Training Group,,,Most of the time,,Yes,,Satisfied,,Increased,,Yes,,Pharmaceutical Development and Manufacturing (PDM),,Foster City,,Individual Contributor,,>7 Years
11163134258,249459562,2019-11-21 07:44:41,2019-11-21 07:46:22,Less than once a month,Consumer - Read Only,,,,I did not take training,I did not take training,,GNet,,,,Contacted my Document Control or Training Group,,,Never,I am not a frequent user,Yes,,Satisfied,,Increased,,Yes,,Pharmaceutical Development and Manufacturing (PDM),,Foster City,,Manager / Group Leader,,3-4 years
11163038888,249459562,2019-11-21 07:14:09,2019-11-21 07:17:51,Less than once a month,Consumer - Read Only,Instructor Led,,,,Effective,"I don't use it that often, but the training was intuitive",,In-Application (GVault),,,,,,Most of the time,,Yes,,Very Satisfied,,Increased,,Yes,,Pharmaceutical Development and Manufacturing (PDM),,Alberta,,Individual Contributor,,3-4 years
11163032301,249459562,2019-11-21 07:12:30,2019-11-21 07:14:53,At least once a week,Consumer - Read Only,,,Read & Understood of Procedural Document(s),,Effective,,GNet,,,SOPs and Work Instructions,,,,Most of the time,,Yes,,Satisfied,,,,,,,,,,,,
11163024984,249459562,2019-11-21 07:11:30,2019-11-21 07:12:58,At least once a month,Consumer - Read Only,,Web/Computer Based,Read & Understood of Procedural Document(s),,Effective,,GNet,,,SOPs and Work Instructions,,IT Support / SPARC,,Most of the time,,Yes,,Satisfied,,Increased,,Yes,,Pharmaceutical Development and Manufacturing (PDM),,Foster City,,Individual Contributor,,Less than a year
11163015291,249459562,2019-11-21 07:04:41,2019-11-21 07:09:59,Daily,Owner / Author,Instructor Led,Web/Computer Based,Read & Understood of Procedural Document(s),,Very effective,,GNet,In-Application (GVault),,SOPs and Work Instructions,Contacted my Document Control or Training Group,,,Most of the time,,No,"I have trouble finding CMO documents, but I work with my manager to access the correct ones.",Satisfied,,,Did not use GDocs,,Did not use GDocs,Pharmaceutical Development and Manufacturing (PDM),,Alberta,,Individual Contributor,,Less than a year
11163012222,249459562,2019-11-21 07:07:05,2019-11-21 07:09:16,Daily,Consumer - Read Only,,,Read & Understood of Procedural Document(s),,Effective,,,,,SOPs and Work Instructions,,,,Some of the time,No comment,Yes,Have not had time to search.,Satisfied,,,No comment.,,No comment,Pharmaceutical Development and Manufacturing (PDM),,Foster City,,Individual Contributor,,Less than a year
11162934641,249459562,2019-11-21 06:41:01,2019-11-21 06:44:49,At least once a month,Consumer - Read Only,,,Read & Understood of Procedural Document(s),,Effective,,GNet,,,,Contacted my Document Control or Training Group,,,Most of the time,,Yes,"When we search with old SOP numbers, it always does not bring up the document. sometimes, the search requires to add the full title to the search bar to bring up the document on gvault",Satisfied,,,NA,,NA,Other (please specify),ClinOps,Stockley Park,,Other (please specify),Associate,1 to 2 years
11162871065,249459562,2019-11-21 06:15:04,2019-11-21 06:28:03,Daily,Consumer - Read Only,,,,I did not take training,I did not take training,,,In-Application (GVault),,,,,,All the time,,No,"I have been able to save most documents I need to my favorites, but I needed to have their title or previous document number to find them in the first place.",Very Unsatisfied,,Decreased,"The login takes longer and username has the additional info appended; It take a long time to load the documents; the entire document cannot be visible all at once, and you have to 'load' the rest, but then you cannot view the first half of the document anymore; searching for documents is not easy unless you know the title.",No,See above.,Other (please specify),DevOps/PVE,Other (please specify),remote,Individual Contributor,,3-4 years
11162774718,249459562,2019-11-21 05:46:25,2019-11-21 05:48:39,Daily,Consumer - Read Only,,,Read & Understood of Procedural Document(s),,Very effective,,GNet,,"Reference Document (User Manual, Reference Guide, Training Material, etc)",,,IT Support / SPARC,,Most of the time,,Yes,,Satisfied,,Increased,,Yes,,Information Technology (IT),,Stockley Park,,Individual Contributor,,1 to 2 years
11162735002,249459562,2019-11-21 05:31:36,2019-11-21 05:33:30,Daily,Owner / Author,Instructor Led,,,,Effective,,GNet,,,,Contacted my Document Control or Training Group,,,All the time,,Yes,,Satisfied,,Increased,,Yes,,Research and Development (R&D),,Cambridge,,Individual Contributor,,>7 Years
11162478191,249459562,2019-11-21 03:30:19,2019-11-21 03:33:52,At least once a month,Owner / Author,Instructor Led,,,,Not effective enough,Very clear at the moment but really difficult to implement afterwards -,,,"Reference Document (User Manual, Reference Guide, Training Material, etc)",,Contacted my Document Control or Training Group,,,Some of the time,,Yes,Yes and no - easy if you have set filters and know the new reference #,Satisfied,,No noticeable difference,,Yes,,Research and Development (R&D),,Other (please specify),Italy,Other (please specify),Associate Director,>7 Years
11162426418,249459562,2019-11-21 02:37:15,2019-11-21 03:06:04,At least once a week,Consumer - Read Only,,Web/Computer Based,Read & Understood of Procedural Document(s),,Effective,,GNet,,,SOPs and Work Instructions,,IT Support / SPARC,,All the time,,Yes,,Very Satisfied,,Increased,,Yes,,Information Technology (IT),,Other (please specify),France,Manager / Group Leader,,3-4 years
11162334889,249459562,2019-11-21 02:08:22,2019-11-21 02:19:27,Daily,Consumer - Read Only,,Web/Computer Based,Read & Understood of Procedural Document(s),,Not effective enough,,,In-Application (GVault),,,,,Asking colleagues,Most of the time,,No,"Although the search functionality is good, the numbering and referencing to the previous PD numbers is not always complete and has made it very difficult and time consuming to find PDs that are needed.",Very Unsatisfied,No structure to the system and no obvious way to locate related PDs,,"When you know the PD you are looking for, it is more user friendly and easier to open and read documents than GDocs. However the renumbering of all PDs has seriously hampered efficiency",Yes,,Research and Development (R&D),,Cambridge,,Other (please specify),Sr Director,>7 Years
11162305101,249459562,2019-11-21 01:51:53,2019-11-21 01:55:42,At least once a week,Reviewer / Approver,Instructor Led,Web/Computer Based,,,Very effective,Combination of very good instructor lead for overview and self training for details was a good solution,GNet,In-Application (GVault),,,,,,Most of the time,,Yes,,Satisfied,,Increased,,Yes,,Research and Development (R&D),,Other (please specify),German affiliate,Individual Contributor,,5-7 years
11162290193,249459562,2019-11-21 01:43:58,2019-11-21 01:47:52,Daily,Owner / Author,,,Read & Understood of Procedural Document(s),,Effective,,,,"Reference Document (User Manual, Reference Guide, Training Material, etc)",,,,,Most of the time,,Yes,,Satisfied,,Increased,,Yes,,Information Technology (IT),,Other (please specify),india,Other (please specify),gxp worker,Less than a year
11162246095,249459562,2019-11-21 01:14:17,2019-11-21 01:22:40,At least once a month,Consumer - Read Only,,,Read & Understood of Procedural Document(s),,Effective,,GNet,In-Application (GVault),,SOPs and Work Instructions,,IT Support / SPARC,,Most of the time,,Yes,,Satisfied,,Increased,,Yes,,Facilities and Operations,,Foster City,,Individual Contributor,,3-4 years
11162230496,249459562,2019-11-21 01:11:07,2019-11-21 01:13:14,At least once a week,Consumer - Read Only,,,Read & Understood of Procedural Document(s),,Not effective enough,,,,,,,,,Some of the time,,No,,Slightly Unsatisfied,,Decreased,,No,,Research and Development (R&D),,Other (please specify),spain,Manager / Group Leader,,5-7 years
