Measure,Measure_type,Ethnicity,Ethnicity_type,Time,Time_Type,Region,Age,Age_Type,Sex,Value,Confidence_interval,Numerator,Denominator,Sample_size
Employed,Percentage of individuals employed,All,All,2004,year,South West,16-24,16-64,Men,68.3,1.9,181900,266500,2345
Employed,Percentage of individuals employed,All,All,2004,year,Wales,16-24,16-64,Men,61,2.1,104600,171500,2133
Employed,Percentage of individuals employed,All,All,2004,year,West Midlands,16-24,16-64,Men,61.4,2.1,190000,309300,2010
Employed,Percentage of individuals employed,All,All,2004,year,Yorkshire and The Humber,16-24,16-64,Men,63.3,2.3,193400,305400,1680
Employed,Percentage of individuals employed,All,All,2004,year,All,16-24,16-64,Women,57.5,0.6,1884900,3280200,24937
Employed,Percentage of individuals employed,All,All,2004,year,East Midlands,16-24,16-64,Women,59,2.1,142800,242000,2052
Employed,Percentage of individuals employed,All,All,2004,year,East of England,16-24,16-64,Women,63.1,2,177700,281600,2191
Employed,Percentage of individuals employed,All,All,2004,year,London,16-24,16-64,Women,45.7,2.4,206700,452200,1591
Employed,Percentage of individuals employed,All,All,2004,year,North East,16-24,16-64,Women,56.1,2.3,84300,150300,1775
Employed,Percentage of individuals employed,All,All,2004,year,North West,16-24,16-64,Women,54.9,1.7,219300,399400,3148
Employed,Percentage of individuals employed,All,All,2004,year,Scotland,16-24,16-64,Women,61.7,1.9,180100,292100,2549
Employed,Percentage of individuals employed,All,All,2004,year,South East,16-24,16-64,Women,63.8,1.7,273800,429000,3228
Employed,Percentage of individuals employed,All,All,2004,year,South West,16-24,16-64,Women,63.9,2,163600,255800,2270
Employed,Percentage of individuals employed,All,All,2004,year,Wales,16-24,16-64,Women,55.4,2,93100,168100,2348
Employed,Percentage of individuals employed,All,All,2004,year,West Midlands,16-24,16-64,Women,55.2,2.2,167800,304000,2019
Employed,Percentage of individuals employed,All,All,2004,year,Yorkshire and The Humber,16-24,16-64,Women,57.5,2.3,175700,305700,1766
Employed,Percentage of individuals employed,All,All,2004,year,All,25-49,16-64,All,81.1,0.2,16539000,20396800,168242
Employed,Percentage of individuals employed,All,All,2004,year,East Midlands,25-49,16-64,All,82.5,0.6,1207900,1463900,13321
Employed,Percentage of individuals employed,All,All,2004,year,East of England,25-49,16-64,All,84.1,0.6,1599200,1900700,15516
Employed,Percentage of individuals employed,All,All,2004,year,London,25-49,16-64,All,75.8,0.8,2360300,3113400,11463
Employed,Percentage of individuals employed,All,All,2004,year,North East,25-49,16-64,All,78.8,0.8,675100,857000,11050
Employed,Percentage of individuals employed,All,All,2004,year,North West,25-49,16-64,All,80.5,0.5,1877700,2332700,20461
Employed,Percentage of individuals employed,All,All,2004,year,Scotland,25-49,16-64,All,81.2,0.6,1446100,1780800,17604
Employed,Percentage of individuals employed,All,All,2004,year,South East,25-49,16-64,All,84.4,0.5,2381300,2820400,23142
Employed,Percentage of individuals employed,All,All,2004,year,South West,25-49,16-64,All,84.1,0.6,1379900,1641100,16001
Employed,Percentage of individuals employed,All,All,2004,year,Wales,25-49,16-64,All,79.8,0.7,765000,958100,14310
Employed,Percentage of individuals employed,All,All,2004,year,West Midlands,25-49,16-64,All,80.3,0.7,1452500,1808500,13773
Employed,Percentage of individuals employed,All,All,2004,year,Yorkshire and The Humber,25-49,16-64,All,81,0.7,1393800,1720100,11601
Employed,Percentage of individuals employed,All,All,2004,year,All,25-49,16-64,Men,88.4,0.2,8915700,10088100,79129
Employed,Percentage of individuals employed,All,All,2004,year,East Midlands,25-49,16-64,Men,89.6,0.7,649000,724300,6386
Employed,Percentage of individuals employed,All,All,2004,year,East of England,25-49,16-64,Men,92.4,0.6,869600,941400,7377
Employed,Percentage of individuals employed,All,All,2004,year,London,25-49,16-64,Men,84.9,1,1331800,1567900,5279
Employed,Percentage of individuals employed,All,All,2004,year,North East,25-49,16-64,Men,85.2,1,356500,418200,5157
Employed,Percentage of individuals employed,All,All,2004,year,North West,25-49,16-64,Men,87.1,0.7,1001600,1150500,9606
Employed,Percentage of individuals employed,All,All,2004,year,Scotland,25-49,16-64,Men,86.8,0.7,748400,861900,8068
Employed,Percentage of individuals employed,All,All,2004,year,South East,25-49,16-64,Men,92.1,0.5,1286300,1396400,11086
Employed,Percentage of individuals employed,All,All,2004,year,South West,25-49,16-64,Men,90.6,0.7,734400,810600,7523
Employed,Percentage of individuals employed,All,All,2004,year,Wales,25-49,16-64,Men,86.4,0.8,405200,469100,6590
Employed,Percentage of individuals employed,All,All,2004,year,West Midlands,25-49,16-64,Men,87.9,0.8,789500,898000,6543
Employed,Percentage of individuals employed,All,All,2004,year,Yorkshire and The Humber,25-49,16-64,Men,87.5,0.9,743600,849700,5514
Employed,Percentage of individuals employed,All,All,2004,year,All,25-49,16-64,Women,73.9,0.3,7623300,10308700,89113
Employed,Percentage of individuals employed,All,All,2004,year,East Midlands,25-49,16-64,Women,75.6,1,559000,739600,6935
Employed,Percentage of individuals employed,All,All,2004,year,East of England,25-49,16-64,Women,76.1,0.9,729600,959300,8139
Employed,Percentage of individuals employed,All,All,2004,year,London,25-49,16-64,Women,66.5,1.2,1028600,1545600,6184
Employed,Percentage of individuals employed,All,All,2004,year,North East,25-49,16-64,Women,72.6,1.1,318600,438800,5893
Employed,Percentage of individuals employed,All,All,2004,year,North West,25-49,16-64,Women,74.1,0.8,876100,1182200,10855
Employed,Percentage of individuals employed,All,All,2004,year,Scotland,25-49,16-64,Women,75.9,0.9,697700,918900,9536
Employed,Percentage of individuals employed,All,All,2004,year,South East,25-49,16-64,Women,76.9,0.8,1095000,1424000,12056
Employed,Percentage of individuals employed,All,All,2004,year,South West,25-49,16-64,Women,77.7,0.9,645600,830400,8478
Employed,Percentage of individuals employed,All,All,2004,year,Wales,25-49,16-64,Women,73.6,1,359800,489000,7720
Employed,Percentage of individuals employed,All,All,2004,year,West Midlands,25-49,16-64,Women,72.8,1,663000,910500,7230
Employed,Percentage of individuals employed,All,All,2004,year,Yorkshire and The Humber,25-49,16-64,Women,74.7,1.1,650300,870500,6087
Employed,Percentage of individuals employed,All,All,2004,year,All,50-64,16-64,All,64.2,0.3,6584500,10263500,97762
Employed,Percentage of individuals employed,All,All,2004,year,East Midlands,50-64,16-64,All,64.3,1.1,507100,789200,7849
Employed,Percentage of individuals employed,All,All,2004,year,East of England,50-64,16-64,All,69.3,1,696500,1005300,8798
Employed,Percentage of individuals employed,All,All,2004,year,London,50-64,16-64,All,63.2,1.4,649300,1026800,4379
Employed,Percentage of individuals employed,All,All,2004,year,North East,50-64,16-64,All,54.5,1.2,252100,462700,6478
Employed,Percentage of individuals employed,All,All,2004,year,North West,50-64,16-64,All,60.5,0.9,739800,1223700,11591
Employed,Percentage of individuals employed,All,All,2004,year,Scotland,50-64,16-64,All,61.9,0.9,573200,925400,10780
Employed,Percentage of individuals employed,All,All,2004,year,South East,50-64,16-64,All,70.3,0.8,1026300,1458900,12935
Employed,Percentage of individuals employed,All,All,2004,year,South West,50-64,16-64,All,67,0.9,643800,960900,10575
Employed,Percentage of individuals employed,All,All,2004,year,Wales,50-64,16-64,All,57.8,1,324000,560200,9343
Employed,Percentage of individuals employed,All,All,2004,year,West Midlands,50-64,16-64,All,63.6,1,607300,955300,8476
Employed,Percentage of individuals employed,All,All,2004,year,Yorkshire and The Humber,50-64,16-64,All,63.1,1.2,565100,895200,6558
Employed,Percentage of individuals employed,All,All,2004,year,All,50-64,16-64,Men,71.8,0.4,3630600,5054600,47298
Employed,Percentage of individuals employed,All,All,2004,year,East Midlands,50-64,16-64,Men,72.5,1.4,284700,392800,3911
Employed,Percentage of individuals employed,All,All,2004,year,East of England,50-64,16-64,Men,77.6,1.2,383900,494900,4338
Employed,Percentage of individuals employed,All,All,2004,year,London,50-64,16-64,Men,71.5,1.9,354700,496000,2071
Employed,Percentage of individuals employed,All,All,2004,year,North East,50-64,16-64,Men,60.7,1.7,138800,228800,3072
Employed,Percentage of individuals employed,All,All,2004,year,North West,50-64,16-64,Men,66.7,1.2,404600,606800,5620
Employed,Percentage of individuals employed,All,All,2004,year,Scotland,50-64,16-64,Men,68.9,1.3,311100,451400,5110
Employed,Percentage of individuals employed,All,All,2004,year,South East,50-64,16-64,Men,79.1,1,568700,719200,6287
Employed,Percentage of individuals employed,All,All,2004,year,South West,50-64,16-64,Men,74.6,1.2,351600,471000,5071
Employed,Percentage of individuals employed,All,All,2004,year,Wales,50-64,16-64,Men,64.3,1.4,177600,276100,4480
Employed,Percentage of individuals employed,All,All,2004,year,West Midlands,50-64,16-64,Men,71.6,1.4,340000,474500,4140
Employed,Percentage of individuals employed,All,All,2004,year,Yorkshire and The Humber,50-64,16-64,Men,71.1,1.6,314900,443200,3198
Employed,Percentage of individuals employed,All,All,2004,year,All,50-64,16-64,Women,56.7,0.4,2953900,5208900,50464
Employed,Percentage of individuals employed,All,All,2004,year,East Midlands,50-64,16-64,Women,56.1,1.5,222400,396400,3938
Employed,Percentage of individuals employed,All,All,2004,year,East of England,50-64,16-64,Women,61.2,1.4,312600,510400,4460
Employed,Percentage of individuals employed,All,All,2004,year,London,50-64,16-64,Women,55.5,2,294600,530800,2308
Employed,Percentage of individuals employed,All,All,2004,year,North East,50-64,16-64,Women,48.5,1.7,113300,233900,3406
Employed,Percentage of individuals employed,All,All,2004,year,North West,50-64,16-64,Women,54.3,1.3,335200,616900,5971
Employed,Percentage of individuals employed,All,All,2004,year,Scotland,50-64,16-64,Women,55.3,1.3,262100,474000,5670
Employed,Percentage of individuals employed,All,All,2004,year,South East,50-64,16-64,Women,61.9,1.2,457600,739700,6648
Employed,Percentage of individuals employed,All,All,2004,year,South West,50-64,16-64,Women,59.7,1.3,292300,489900,5504
Employed,Percentage of individuals employed,All,All,2004,year,Wales,50-64,16-64,Women,51.5,1.4,146400,284200,4863
Employed,Percentage of individuals employed,All,All,2004,year,West Midlands,50-64,16-64,Women,55.6,1.5,267300,480700,4336
Employed,Percentage of individuals employed,All,All,2004,year,Yorkshire and The Humber,50-64,16-64,Women,55.3,1.7,250100,452100,3360
Employed,Percentage of individuals employed,All,All,2004,year,All,All,16-64,All,72.6,0.2,27057900,37248300,315222
Employed,Percentage of individuals employed,All,All,2004,year,East Midlands,All,16-64,All,73.5,0.5,2015400,2742100,25224
Employed,Percentage of individuals employed,All,All,2004,year,East of England,All,16-64,All,76.9,0.5,2667300,3470400,28741
Employed,Percentage of individuals employed,All,All,2004,year,London,All,16-64,All,68.1,0.7,3433700,5039000,18997
Employed,Percentage of individuals employed,All,All,2004,year,North East,All,16-64,All,68.1,0.6,1103800,1620800,21022
Employed,Percentage of individuals employed,All,All,2004,year,North West,All,16-64,All,70.6,0.5,3075400,4356900,38152
Employed,Percentage of individuals employed,All,All,2004,year,Scotland,All,16-64,All,72.6,0.5,2388900,3289400,33439
Employed,Percentage of individuals employed,All,All,2004,year,South East,All,16-64,All,77.2,0.4,3971900,5144200,42439
Employed,Percentage of individuals employed,All,All,2004,year,South West,All,16-64,All,75.8,0.5,2369200,3124200,31191
Employed,Percentage of individuals employed,All,All,2004,year,Wales,All,16-64,All,69.3,0.5,1286700,1857900,28134
Employed,Percentage of individuals employed,All,All,2004,year,West Midlands,All,16-64,All,71.6,0.5,2417500,3377000,26278
Employed,Percentage of individuals employed,All,All,2004,year,Yorkshire and The Humber,All,16-64,All,72.2,0.6,2328000,3226400,21605
Employed,Percentage of individuals employed,All,All,2004,year,All,All,16-64,Men,79.1,0.2,14595800,18450400,150708
Employed,Percentage of individuals employed,All,All,2004,year,East Midlands,All,16-64,Men,80,0.7,1091200,1364100,12299
Employed,Percentage of individuals employed,All,All,2004,year,East of England,All,16-64,Men,84.2,0.6,1447500,1719100,13951
Employed,Percentage of individuals employed,All,All,2004,year,London,All,16-64,Men,75.8,0.9,1903800,2510400,8914
Employed,Percentage of individuals employed,All,All,2004,year,North East,All,16-64,Men,73.6,0.9,587500,797800,9948
Employed,Percentage of individuals employed,All,All,2004,year,North West,All,16-64,Men,76.2,0.6,1644800,2158400,18178
Employed,Percentage of individuals employed,All,All,2004,year,Scotland,All,16-64,Men,77.8,0.6,1249000,1604400,15684
Employed,Percentage of individuals employed,All,All,2004,year,South East,All,16-64,Men,84.1,0.5,2145500,2551400,20507
Employed,Percentage of individuals employed,All,All,2004,year,South West,All,16-64,Men,81.9,0.6,1267800,1548100,14939
Employed,Percentage of individuals employed,All,All,2004,year,Wales,All,16-64,Men,75,0.7,687400,916700,13203
Employed,Percentage of individuals employed,All,All,2004,year,West Midlands,All,16-64,Men,78.5,0.7,1319500,1681800,12693
Employed,Percentage of individuals employed,All,All,2004,year,Yorkshire and The Humber,All,16-64,Men,78.3,0.8,1251900,1598200,10392
Employed,Percentage of individuals employed,All,All,2004,year,All,All,16-64,Women,66.3,0.2,12462100,18797900,164514
Employed,Percentage of individuals employed,All,All,2004,year,East Midlands,All,16-64,Women,67.1,0.8,924200,1378000,12925
Employed,Percentage of individuals employed,All,All,2004,year,East of England,All,16-64,Women,69.7,0.7,1219800,1751300,14790
Employed,Percentage of individuals employed,All,All,2004,year,London,All,16-64,Women,60.5,1,1529900,2528600,10083
Employed,Percentage of individuals employed,All,All,2004,year,North East,All,16-64,Women,62.7,0.9,516300,823000,11074
Employed,Percentage of individuals employed,All,All,2004,year,North West,All,16-64,Women,65.1,0.7,1430600,2198400,19974
Employed,Percentage of individuals employed,All,All,2004,year,Scotland,All,16-64,Women,67.7,0.7,1139900,1685000,17755
Employed,Percentage of individuals employed,All,All,2004,year,South East,All,16-64,Women,70.4,0.6,1826400,2592800,21932
Employed,Percentage of individuals employed,All,All,2004,year,South West,All,16-64,Women,69.9,0.7,1101400,1576100,16252
Employed,Percentage of individuals employed,All,All,2004,year,Wales,All,16-64,Women,63.7,0.8,599300,941200,14931
Employed,Percentage of individuals employed,All,All,2004,year,West Midlands,All,16-64,Women,64.8,0.8,1098100,1695200,13585
Employed,Percentage of individuals employed,All,All,2004,year,Yorkshire and The Humber,All,16-64,Women,66.1,0.9,1076100,1628200,11213
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,All,16-24,16-64,All,37.1,3,178600,481500,2552
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,East Midlands,16-24,16-64,All,37,9.8,12600,34000,231
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,East of England,16-24,16-64,All,45.4,11.6,10300,22700,178
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,London,16-24,16-64,All,37.9,6,65500,173000,631
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,North East,16-24,16-64,All,?,?,?,?,?
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,North West,16-24,16-64,All,33.4,7.6,17100,51300,371
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,Scotland,16-24,16-64,All,?,?,?,?,?
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,South East,16-24,16-64,All,38.9,8.1,16600,42800,347
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,South West,16-24,16-64,All,?,?,?,?,?
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,Wales,16-24,16-64,All,?,?,?,?,?
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,West Midlands,16-24,16-64,All,32.8,8.3,22700,69300,309
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,Yorkshire and The Humber,16-24,16-64,All,32.7,10,17500,53500,210
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,All,16-24,16-64,Men,40,4.2,102100,255500,1303
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,East Midlands,16-24,16-64,Men,37.4,12.8,7600,20400,136
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,East of England,16-24,16-64,Men,?,?,?,?,?
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,London,16-24,16-64,Men,39.7,8.3,37800,95200,337
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,North East,16-24,16-64,Men,?,?,?,?,?
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,North West,16-24,16-64,Men,33,11.3,8000,24100,166
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,Scotland,16-24,16-64,Men,?,?,?,?,?
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,South East,16-24,16-64,Men,39.3,11.4,8900,22700,177
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,South West,16-24,16-64,Men,?,?,?,?,?
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,Wales,16-24,16-64,Men,?,?,?,?,?
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,West Midlands,16-24,16-64,Men,36.2,12.3,12000,33200,147
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,Yorkshire and The Humber,16-24,16-64,Men,39.7,14.4,11600,29100,110
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,All,16-24,16-64,Women,33.8,4.1,76500,226000,1249
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,East Midlands,16-24,16-64,Women,?,?,?,?,?
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,East of England,16-24,16-64,Women,?,?,?,?,?
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,London,16-24,16-64,Women,35.6,8.6,27700,77800,294
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,North East,16-24,16-64,Women,?,?,?,?,?
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,North West,16-24,16-64,Women,33.9,10.2,9200,27100,205
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,Scotland,16-24,16-64,Women,?,?,?,?,?
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,South East,16-24,16-64,Women,38.4,11.6,7700,20000,170
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,South West,16-24,16-64,Women,?,?,?,?,?
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,Wales,16-24,16-64,Women,?,?,?,?,?
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,West Midlands,16-24,16-64,Women,29.6,11.1,10700,36100,162
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,Yorkshire and The Humber,16-24,16-64,Women,24.4,13.3,6000,24400,100
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,All,25-49,16-64,All,67,1.8,774900,1157200,6710
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,East Midlands,25-49,16-64,All,70.6,5.6,60900,86300,645
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,East of England,25-49,16-64,All,71.8,6.1,44700,62300,515
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,London,25-49,16-64,All,67.1,3.6,306400,456400,1661
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,North East,25-49,16-64,All,61.6,10,12600,20500,226
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,North West,25-49,16-64,All,60.2,5.1,62900,104400,870
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,Scotland,25-49,16-64,All,62.8,10.6,19300,30800,200
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,South East,25-49,16-64,All,78.4,4.1,86600,110500,973
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,South West,25-49,16-64,All,78.3,9.1,19100,24300,195
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,Wales,25-49,16-64,All,71.5,11.8,8600,12000,140
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,West Midlands,25-49,16-64,All,62.8,5.3,95900,152700,806
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,Yorkshire and The Humber,25-49,16-64,All,59.7,6.9,57900,97000,479
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,All,25-49,16-64,Men,82.2,2.1,480900,584800,3162
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,East Midlands,25-49,16-64,Men,84.7,6.4,35700,42100,305
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,East of England,25-49,16-64,Men,86.9,6.6,27500,31700,250
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,London,25-49,16-64,Men,81.8,4.3,189300,231500,772
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,North East,25-49,16-64,Men,76.4,12.2,8600,11300,116
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,North West,25-49,16-64,Men,82.2,5.8,43800,53200,419
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,Scotland,25-49,16-64,Men,71.9,13.9,12000,16700,100
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,South East,25-49,16-64,Men,92.6,3.9,48900,52800,441
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,South West,25-49,16-64,Men,?,?,?,?,?
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,Wales,25-49,16-64,Men,?,?,?,?,?
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,West Midlands,25-49,16-64,Men,76.1,6.7,60500,79500,388
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,Yorkshire and The Humber,25-49,16-64,Men,80.6,8.1,39400,48800,227
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,All,25-49,16-64,Women,51.4,2.6,294000,572400,3548
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,East Midlands,25-49,16-64,Women,57.1,8.3,25300,44200,340
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,East of England,25-49,16-64,Women,56.1,9.4,17200,30600,265
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,London,25-49,16-64,Women,52.1,5.2,117100,224900,889
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,North East,25-49,16-64,Women,43.5,14.6,4000,9200,110
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,North West,25-49,16-64,Women,37.4,7.1,19200,51200,451
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,Scotland,25-49,16-64,Women,51.9,15.5,7300,14000,100
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,South East,25-49,16-64,Women,65.4,6.4,37700,57600,532
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,South West,25-49,16-64,Women,67.9,14,8500,12500,106
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,Wales,25-49,16-64,Women,?,?,?,?,?
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,West Midlands,25-49,16-64,Women,48.3,7.6,35400,73200,418
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,Yorkshire and The Humber,25-49,16-64,Women,38.5,9.5,18600,48200,252
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,All,50-64,16-64,All,50.3,3.6,142000,282300,1801
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,East Midlands,50-64,16-64,All,50.9,11.6,11200,22000,178
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,East of England,50-64,16-64,All,58.2,12.8,9300,15900,142
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,London,50-64,16-64,All,52.3,6.8,63100,120700,517
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,North East,50-64,16-64,All,?,?,?,?,?
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,North West,50-64,16-64,All,42.3,11.4,9000,21200,180
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,Scotland,50-64,16-64,All,?,?,?,?,?
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,South East,50-64,16-64,All,60.2,9.5,15500,25800,256
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,South West,50-64,16-64,All,?,?,?,?,?
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,Wales,50-64,16-64,All,?,?,?,?,?
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,West Midlands,50-64,16-64,All,44.3,10.1,15700,35500,232
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,Yorkshire and The Humber,50-64,16-64,All,41.5,13.9,9700,23400,120
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,All,50-64,16-64,Men,64.8,5,90700,140000,870
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,East Midlands,50-64,16-64,Men,?,?,?,?,?
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,East of England,50-64,16-64,Men,?,?,?,?,?
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,London,50-64,16-64,Men,65.3,9.6,37600,57600,238
Employed,Percentage of individuals employed,Asian,ONS 2011 5+1,2004,year,North East,50-64,16-64,Men,?,?,?,?,?
